last_obs,v_inf,ip,h,range,n_imp,last_obs_jd,fullname,ps_max,ts_max,diameter,ps_cum,id,des
2018-07-09,9.63,3.597e-08,24.20,2106-2106,1,2458308.5,(2018 LF4),-7.34,0,0.049,-7.34,bK18L04F,2018 LF4
2012-12-10,18.9710943004042,2.00137e-08,27.06,2056-2082,3,2456271.5,(2012 XL55),-8.32,0,0.013,-8.29,bK12X55L,2012 XL55
2019-02-17,13.35,6.409e-10,25.67,2060-2060,1,2458531.5,(2019 CY1),-9.30,0,0.025,-9.30,bK19C01Y,2019 CY1
2008-11-01,9.97491075510426,2.72237082e-05,24.08,2062-2112,26,2454771.5,(2008 ST7),-4.76,0,0.052,-4.36,bK08S07T,2008 ST7
2018-11-29,3.30,4.486e-08,26.41,2106-2106,1,2458451.5,(2018 WS),-8.47,0,0.018,-8.47,bK18W00S,2018 WS
2020-02-02,12.4907475572868,3.67624e-07,27.93,2114-2120,6,2458881.5,(2020 BY11),-8.55,0,0.0088,-8.10,bK20B11Y,2020 BY11
1993-05-22,23.20,4.177e-08,29.00,2060-2060,1,2449129.5,(1993 KA2),-8.83,0,0.0054,-8.83,bJ93K02A,1993 KA2
2020-09-15,6.80795582038091,1.46176e-07,27.31,2111-2119,3,2459107.5,(2020 QR5),-8.40,0,0.012,-8.36,bK20Q05R,2020 QR5
2019-07-09,8.7188746023856,9.672688e-05,28.25,2102-2117,5,2458673.5,(2019 NO2),-5.87,0,0.0076,-5.87,bK19N02O,2019 NO2
2020-04-25,11.4196996747501,2.325289e-05,25.13,2105-2123,15,2458964.5,(2020 HB3),-5.04,0,0.032,-4.99,bK20H03B,2020 HB3
2024-03-13,6.70201189378192,1.45286e-07,29.40,2074-2100,8,2460382.5,(2024 EJ4),-9.74,0,0.0045,-9.20,bK24E04J,2024 EJ4
2021-03-24,10.3917189410843,3.86773e-06,26.97,2100-2123,3,2459297.5,(2021 FE2),-6.59,0,0.014,-6.58,bK21F02E,2021 FE2
2023-08-22,7.60038890009309,4.0138715e-06,26.90,2062-2116,40,2460178.5,(2023 QD2),-7.38,0,0.014,-6.56,bK23Q02D,2023 QD2
2020-04-22,4.18094356104446,3.086308e-06,29.58,2099-2118,10,2458961.5,(2020 HN3),-8.43,0,0.0041,-8.17,bK20H03N,2020 HN3
2016-11-02,11.5513553957302,3.69014e-07,26.02,2083-2096,5,2457694.5,(2016 TT),-7.41,0,0.021,-7.06,bK16T00T,2016 TT
2021-04-17,16.7470381455274,2.245296e-05,28.72,2057-2085,6,2459321.5,(2021 GB10),-6.80,0,0.0061,-6.32,bK21G10B,2021 GB10
2006-10-13,12.2210002596429,1.544429e-06,25.22,2043-2109,9,2454021.5,(2006 SC),-5.87,0,0.031,-5.74,bK06S00C,2006 SC
2019-10-22,8.84,1.220e-09,27.41,2081-2081,1,2458778.5,(2019 TF1),-10.22,0,0.011,-10.22,bK19T01F,2019 TF1
2013-12-10,11.671576182473,1.561875e-06,27.12,2075-2117,4,2456636.5,(2013 VD17),-7.15,0,0.013,-7.10,bK13V17D,2013 VD17
2020-02-02,10.0044831692983,8.71562e-07,28.83,2083-2105,8,2458881.5,(2020 BA13),-8.66,0,0.0058,-8.10,bK20B13A,2020 BA13
2021-09-09,20.0210311039235,1.2503085e-05,28.75,2035-2087,20,2459466.5,(2021 RS100),-6.55,0,0.006,-6.21,bK21RA0S,2021 RS100
2021-10-15,12.19,6.36165e-06,28.37,2056-2075,2,2459502.5,(2021 TJ15),-6.60,0,0.0072,-6.60,bK21T15J,2021 TJ15
2021-12-04,2.78,2.874e-09,28.75,2077-2081,2,2459552.5,(2021 XE),-10.91,0,0.006,-10.62,bK21X00E,2021 XE
2020-02-24,14.0196480430131,2.46118285e-05,24.84,2083-2118,41,2458903.5,(2020 DJ1),-4.83,0,0.036,-4.72,bK20D01J,2020 DJ1
2022-12-25,18.2353043129686,5.3749336e-06,26.76,2099-2122,14,2459938.5,(2022 YJ5),-6.24,0,0.015,-6.14,bK22Y05J,2022 YJ5
2021-09-11,6.76,2.450e-07,28.90,2121-2121,1,2459468.5,(2021 RG6),-8.92,0,0.0056,-8.92,bK21R06G,2021 RG6
2019-05-08,14.362319107068,3.0999e-07,29.13,2100-2104,2,2458611.5,(2019 JX1),-8.73,0,0.0051,-8.61,bK19J01X,2019 JX1
2010-10-18,2.51151400953121,5.9174e-08,26.15,2029-2093,7,2455487.5,(2010 UJ),-8.51,0,0.0198,-7.86,bK10U00J,2010 UJ
2015-11-23,12.6207799644318,0.0001985615878,30.08,2077-2121,30,2457349.5,(2015 WP2),-6.56,0,0.0033,-6.32,bK15W02P,2015 WP2
2019-03-16,7.28781685732172,3.5142e-06,26.67,2118-2118,2,2458558.5,(2019 DG1),-6.77,0,0.016,-6.66,bK19D01G,2019 DG1
2014-12-08,0.977446982055465,1.4712e-06,29.59,2118-2119,2,2456999.5,(2014 WX202),-8.61,0,0.0041,-8.57,bK14WK2X,2014 WX202
2020-01-01,9.99,1.136e-07,27.70,2047-2047,1,2458849.5,(2019 YL3),-7.95,0,0.0098,-7.95,bK19Y03L,2019 YL3
2009-10-02,4.21,2.065e-07,24.90,2119-2119,1,2455106.5,(2009 SH2),-7.13,0,0.035,-7.13,bK09S02H,2009 SH2
2018-01-16,7.5179267729831,2.4710825e-05,27.33,2078-2119,26,2458134.5,(2017 YV8),-6.26,0,0.012,-6.04,bK17Y08V,2017 YV8
